Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-10-28 13:56:24.024 -0600,"Failure",0:00:00,1,0,0,"20161028_135624.024/LogFile.txt","","ST_ODBC_ResultError -- [MySQL][ODBC 5.3(w) Driver][mysqld-5.7.16-0ubuntu0.16.04.1]Table 'Test.users' doesn't exist, SQLSTATE=42S02",0
2016-10-28 13:56:31.031 -0600,"Failure",0:00:00,1,0,0,"20161028_135631.031/LogFile.txt","","ST_ODBC_ResultError -- [MySQL][ODBC 5.3(w) Driver][mysqld-5.7.16-0ubuntu0.16.04.1]Table 'Test.users' doesn't exist, SQLSTATE=42S02",0
2016-10-28 13:56:48.048 -0600,"Success",0:00:00,0,0,0,"20161028_135648.048/LogFile.txt","","",1
2016-10-28 13:57:09.009 -0600,"Success",0:00:00,0,0,0,"20161028_135709.009/LogFile.txt","","",1
2016-10-28 14:00:35.035 -0600,"Success",0:00:00,0,0,0,"20161028_140035.035/LogFile.txt","","",1
2016-10-28 14:02:31.031 -0600,"Success",0:00:00,0,0,0,"20161028_140231.031/LogFile.txt","","",1
2016-10-28 14:04:27.027 -0600,"Success",0:00:00,0,0,0,"20161028_140427.027/LogFile.txt","","",1
2016-10-28 14:06:00.000 -0600,"Success",0:00:00,0,0,0,"20161028_140600.000/LogFile.txt","","",1
2016-10-28 14:06:13.013 -0600,"Success",0:00:00,0,0,0,"20161028_140613.013/LogFile.txt","","",1
2016-10-28 14:07:50.050 -0600,"Success",0:00:00,0,0,0,"20161028_140750.050/LogFile.txt","","",1
2016-10-28 14:08:35.035 -0600,"Success",0:00:00,0,0,0,"20161028_140835.035/LogFile.txt","","",1
2016-10-28 14:08:56.056 -0600,"Success",0:00:00,0,0,0,"20161028_140856.056/LogFile.txt","","",1
2016-10-28 14:11:36.036 -0600,"Success",0:00:00,0,0,0,"20161028_141136.036/LogFile.txt","","",1
2016-10-28 14:11:55.055 -0600,"Success",0:00:00,0,0,0,"20161028_141155.055/LogFile.txt","","",1
2016-10-28 14:12:03.003 -0600,"Success",0:00:00,0,0,0,"20161028_141203.003/LogFile.txt","","",1
2016-10-28 14:12:11.011 -0600,"Success",0:00:00,0,0,0,"20161028_141211.011/LogFile.txt","","",1
2016-10-28 14:12:34.034 -0600,"Success",0:00:00,0,0,0,"20161028_141234.034/LogFile.txt","","",1
